,year,raceId,driverId,constructorId,number,grid,position,positionText,points,laps,time,miliseconds,fastestLap,fastestLapSpeed,statusId,fastestLapTime
4987,2021,18,giovinazzi,giovinazzi,99,11,11,11,0,70,,,68,,+1 Lap,1:21.523
4988,2021,18,ricciardo,ricciardo,3,7,12,12,0,70,,,40,,+1 Lap,1:21.069
4989,2021,18,ocon,ocon,31,19,13,13,0,70,,,67,,+1 Lap,1:21.348
4990,2021,18,stroll,stroll,18,20,14,14,0,69,,,61,,+2 Laps,1:20.930
4991,2021,18,bottas,bottas,77,1,15,15,0,69,,,69,,+2 Laps,1:17.774
4992,2021,18,russell,russell,63,16,16,16,0,69,,,61,,+2 Laps,1:22.016
4993,2021,18,latifi,latifi,6,13,17,17,0,69,,,66,,+2 Laps,1:21.546
4994,2021,18,mazepin,mazepin,9,15,18,18,0,68,,,61,,+3 Laps,1:21.402
4995,2021,18,mick_schumacher,mick_schumacher,47,14,19,R,0,0,,,,,Collision,
4996,2021,18,tsunoda,tsunoda,22,17,20,R,0,0,,,,,Collision,
4997,2021,19,hamilton,hamilton,44,10,1,1,25,71,1:32:22.851,5542851,46,,Finished,1:11.982
4998,2021,19,max_verstappen,max_verstappen,33,2,2,2,18,71,+10.496,5553347,47,,Finished,1:12.486
4999,2021,19,bottas,bottas,77,1,3,3,15,71,+13.576,5556427,49,,Finished,1:12.526
5000,2021,19,perez,perez,11,4,4,4,13,71,+39.940,5582791,71,,Finished,1:11.010
5001,2021,19,leclerc,leclerc,16,6,5,5,10,71,+49.517,5592368,61,,Finished,1:12.822
5002,2021,19,sainz,sainz,55,3,6,6,8,71,+51.820,5594671,63,,Finished,1:12.710
5003,2021,19,gasly,gasly,10,7,7,7,6,70,,,53,,+1 Lap,1:13.227
5004,2021,19,ocon,ocon,31,8,8,8,4,70,,,48,,+1 Lap,1:14.430
5005,2021,19,alonso,alonso,14,12,9,9,2,70,,,37,,+1 Lap,1:13.922
