year,circuitId,name,location,country,lat,lng,alt,url
1955,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,Buenos Aires,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
1955,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347,Indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
1955,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1955,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1955,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,Spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
1955,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
1956,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,Buenos Aires,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
1956,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347,Indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
1956,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1956,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1956,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,Nürburg,http://en.wikipedia.org/wiki/N%C3%BCrburgring
1956,reims,Reims-Gueux,Reims,France,49.2542,3.93083,Reims,http://en.wikipedia.org/wiki/Reims-Gueux
1956,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,Silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit
1956,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,Spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
1957,aintree,Aintree,Liverpool,UK,53.4769,-2.94056,Liverpool,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit
1957,essarts,Rouen-Les-Essarts,Rouen,France,49.3306,1.00458,Rouen,http://en.wikipedia.org/wiki/Rouen-Les-Essarts
1957,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,Buenos Aires,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
1957,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347,Indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
