year,raceId,driverId,round,constructorId,number,grid,position,positionText,points,laps,time,miliseconds,fastestLap,statusId,fastestLapTime
2021,British Grand Prix,max_verstappen,10,red_bull,33,2,1,1,3,17,25:38.426,1538426,14,Finished,1:30.013
2021,British Grand Prix,hamilton,10,mercedes,44,1,2,2,2,17,+1.430,1539856,17,Finished,1:29.937
2021,British Grand Prix,bottas,10,mercedes,77,3,3,3,1,17,+7.502,1545928,17,Finished,1:29.958
2021,British Grand Prix,leclerc,10,ferrari,16,4,4,4,0,17,+11.278,1549704,16,Finished,1:30.163
2021,British Grand Prix,norris,10,mclaren,4,6,5,5,0,17,+24.111,1562537,16,Finished,1:30.566
2021,British Grand Prix,ricciardo,10,mclaren,3,7,6,6,0,17,+30.959,1569385,17,Finished,1:30.640
2021,British Grand Prix,alonso,10,alpine,14,11,7,7,0,17,+43.527,1581953,17,Finished,1:31.773
2021,British Grand Prix,vettel,10,aston_martin,5,10,8,8,0,17,+44.439,1582865,17,Finished,1:31.687
2021,British Grand Prix,russell,10,williams,63,8,9,9,0,17,+46.652,1585078,17,Finished,1:32.208
2021,British Grand Prix,ocon,10,alpine,31,13,10,10,0,17,+47.395,1585821,16,Finished,1:32.183
2021,British Grand Prix,sainz,10,ferrari,55,9,11,11,0,17,+47.798,1586224,10,Finished,1:31.991
2021,British Grand Prix,gasly,10,alphatauri,10,12,12,12,0,17,+48.763,1587189,17,Finished,1:32.072
2021,British Grand Prix,raikkonen,10,alfa,7,17,13,13,0,17,+50.677,1589103,12,Finished,1:32.139
2021,British Grand Prix,stroll,10,aston_martin,18,15,14,14,0,17,+52.179,1590605,12,Finished,1:32.210
2021,British Grand Prix,giovinazzi,10,alfa,99,14,15,15,0,17,+53.225,1591651,14,Finished,1:32.457
2021,British Grand Prix,tsunoda,10,alphatauri,22,16,16,16,0,17,+53.567,1591993,14,Finished,1:32.270
2021,British Grand Prix,latifi,10,williams,6,18,17,17,0,17,+55.162,1593588,17,Finished,1:32.143
2021,British Grand Prix,mick_schumacher,10,haas,47,19,18,18,0,17,+1:08.213,1606639,15,Finished,1:32.567
2021,British Grand Prix,mazepin,10,haas,9,20,19,19,0,17,+1:17.648,1616074,3,Finished,1:33.462
2021,British Grand Prix,perez,10,red_bull,11,5,20,R,0,16,0,,6,Vibrations,1:31.465
2021,Italian Grand Prix,bottas,14,mercedes,77,1,1,1,3,18,27:54.078,1674078,9,Finished,1:23.540
2021,Italian Grand Prix,max_verstappen,14,red_bull,33,3,2,2,2,18,+2.325,1676403,9,Finished,1:23.502
2021,Italian Grand Prix,ricciardo,14,mclaren,3,5,3,3,1,18,+14.534,1688612,17,Finished,1:24.291
2021,Italian Grand Prix,norris,14,mclaren,4,4,4,4,0,18,+18.835,1692913,9,Finished,1:24.554
2021,Italian Grand Prix,hamilton,14,mercedes,44,2,5,5,0,18,+20.011,1694089,9,Finished,1:24.253
2021,Italian Grand Prix,leclerc,14,ferrari,16,8,6,6,0,18,+23.442,1697520,18,Finished,1:24.677
2021,Italian Grand Prix,sainz,14,ferrari,55,7,7,7,0,18,+27.952,1702030,8,Finished,1:24.918
2021,Italian Grand Prix,giovinazzi,14,alfa,99,10,8,8,0,18,+31.089,1705167,10,Finished,1:25.126
2021,Italian Grand Prix,perez,14,red_bull,11,9,9,9,0,18,+31.680,1705758,12,Finished,1:24.211
2021,Italian Grand Prix,stroll,14,aston_martin,18,12,10,10,0,18,+38.671,1712749,8,Finished,1:25.349
2021,Italian Grand Prix,alonso,14,alpine,14,13,11,11,0,18,+39.795,1713873,8,Finished,1:25.225
2021,Italian Grand Prix,vettel,14,aston_martin,5,11,12,12,0,18,+41.177,1715255,8,Finished,1:25.493
